Año,Mes,Muestra,Celda_ID,Subzona,Celda_ID_local,Centroide_X,Centroide_Y,NDSI_mean
2019,1,2,59,ZonaCraterRestringida,59,417545.3396801679,2112696.5333284903,0.004504513461142778
2019,1,2,60,ZonaCraterRestringida,60,417528.40236814367,2112729.066500403,-0.02135107396170497
2019,1,2,61,ZonaCraterRestringida,61,417525.0,2112775.0,-0.018523928362410517
2019,1,2,62,ZonaCraterRestringida,62,417525.0,2112825.0,-0.06455831177998334
2019,1,2,63,ZonaCraterRestringida,63,417525.0,2112875.0,-0.009073529777815566
2019,1,2,64,ZonaCraterRestringida,64,417525.0,2112925.0,-0.015215771712828428
2019,1,2,65,ZonaCraterRestringida,65,417525.0,2112975.0,-0.04179866068065166
2019,1,2,66,ZonaCraterRestringida,66,417525.0,2113025.0,-0.03180324046872556
2019,1,2,67,ZonaCraterRestringida,67,417525.0,2113075.0,-0.04820141712203622
2019,1,2,68,ZonaCraterRestringida,68,417525.0,2113125.0,-0.020928965914063156
2019,1,2,69,ZonaCraterRestringida,69,417525.0,2113175.0,-0.03318587909801863
2019,1,2,70,ZonaCraterRestringida,70,417525.0,2113225.0,-0.028742818855680526
2019,1,2,71,ZonaCraterRestringida,71,417525.0,2113275.0,0.006794914584606886
2019,1,2,72,ZonaCraterRestringida,72,417525.0,2113325.0,0.011535566193051636
2019,1,2,73,ZonaCraterRestringida,73,417525.0,2113375.0,0.033703439012169836
2019,1,2,74,ZonaCraterRestringida,74,417525.0,2113425.0,0.06300723545253277
2019,1,2,75,ZonaCraterRestringida,75,417525.0,2113475.0,0.1162030553817749
2019,1,2,76,ZonaCraterRestringida,76,417525.0,2113525.0,0.14493628084659577
2019,1,2,77,ZonaCraterRestringida,77,417525.6548278177,2113574.131821748,0.13685529120266438
2019,1,2,78,ZonaCraterRestringida,78,417543.07831995795,2113601.221472949,
2019,1,2,79,ZonaCraterRestringida,79,417575.7905151905,2112694.894878567,0.01591334680560976
2019,1,2,80,ZonaCraterRestringida,80,417575.0,2112725.0,-0.0010059494338929653
2019,1,2,81,ZonaCraterRestringida,81,417575.0,2112775.0,0.0040370914526283745
2019,1,2,82,ZonaCraterRestringida,82,417575.0,2112825.0,-0.017649682005867362
2019,1,2,83,ZonaCraterRestringida,83,417575.0,2112875.0,-0.011357475761324167
2019,1,2,84,ZonaCraterRestringida,84,417575.0,2112925.0,-0.01603439451660961
