Subzona,NDVI_mean_filtered,n_filtered,year,month,sample,NDVI_mean_filtered_norm
Toluca,0.6079490675206137,15636,2024,2,3,0.8039745337603068
Bosques_con_muerdago_2,0.5748927291357103,3159,2024,3,3,0.7874463645678551
Bosques_con_muerdago_3,0.5762479289087543,32635,2024,3,3,0.7881239644543772
Bosques_densos_pino_oyamel,0.5665076070004107,29456,2024,3,3,0.7832538035002053
Mariposa_monarca,0.7339200430460316,534,2024,3,3,0.8669600215230158
Parque_venados,0.3132309631453789,51,2024,3,3,0.6566154815726895
Toluca,0.5439234475105407,15794,2024,3,3,0.7719617237552703
Bosques_con_muerdago_2,0.532502216358716,3157,2024,4,2,0.7662511081793579
Bosques_con_muerdago_3,0.5515133577259375,28767,2024,4,2,0.7757566788629687
Bosques_densos_pino_oyamel,0.5715172570650068,29349,2024,4,2,0.7857586285325033
Mariposa_monarca,0.7148968581796904,535,2024,4,2,0.8574484290898452
Parque_venados,0.30563920722932003,51,2024,4,2,0.6528196036146601
Toluca,0.5618795173672364,15747,2024,4,2,0.7809397586836182
Bosques_con_muerdago_2,0.5064004872999759,3144,2024,5,3,0.7532002436499879
Bosques_con_muerdago_3,0.5051101988651063,27414,2024,5,3,0.7525550994325532
Bosques_densos_pino_oyamel,0.5088633677449854,27902,2024,5,3,0.7544316838724927
Mariposa_monarca,0.6484960279913823,497,2024,5,3,0.8242480139956911
Parque_venados,0.3456967328765866,51,2024,5,3,0.6728483664382933
Toluca,0.5306328109928944,15783,2024,5,3,0.7653164054964472
Bosques_con_muerdago_2,0.5192002172222858,3150,2024,6,2,0.7596001086111429
Bosques_con_muerdago_3,0.5494016927667935,32428,2024,6,2,0.7747008463833968
Bosques_densos_pino_oyamel,0.539192973167394,28820,2024,6,2,0.7695964865836971
Mariposa_monarca,0.5849423268681102,483,2024,6,2,0.7924711634340551
Parque_venados,0.37616318466770493,52,2024,6,2,0.6880815923338525
Toluca,0.5149680607140011,15799,2024,6,2,0.7574840303570005
Bosques_con_muerdago_2,0.5386979507460748,2500,2024,7,1,0.7693489753730374
Bosques_con_muerdago_3,0.4763740092361485,3344,2024,7,1,0.7381870046180743
Bosques_densos_pino_oyamel,0.5149344789812843,13083,2024,7,1,0.7574672394906421
Toluca,0.5727292497982396,15698,2024,7,1,0.7863646248991198
Bosques_con_muerdago_2,0.62991669793049,3149,2024,8,1,0.814958348965245
Bosques_con_muerdago_3,0.6472333333857698,31603,2024,8,1,0.8236166666928849
Bosques_densos_pino_oyamel,0.6139151404255085,28870,2024,8,1,0.8069575702127543
Mariposa_monarca,0.8074836166552489,531,2024,8,1,0.9037418083276245
Parque_venados,0.5488074506130638,52,2024,8,1,0.7744037253065319
Toluca,0.6701141993642187,15659,2024,8,1,0.8350570996821094
Bosques_con_muerdago_2,0.6526118468195119,2170,2024,9,3,0.826305923409756
Bosques_con_muerdago_3,0.6525020150450348,16288,2024,9,3,0.8262510075225173
Bosques_densos_pino_oyamel,0.621899839619291,17683,2024,9,3,0.8109499198096455
Mariposa_monarca,-0.01050871904453226,35,2024,9,3,0.4947456404777339
Parque_venados,0.581677508678518,51,2024,9,3,0.790838754339259
Toluca,0.7273541442328677,12978,2024,9,3,0.8636770721164339
Bosques_con_muerdago_2,0.6659481039568736,3125,2024,10,2,0.8329740519784368
Bosques_con_muerdago_3,0.6588172665453087,23193,2024,10,2,0.8294086332726543
Bosques_densos_pino_oyamel,0.682771665935207,25915,2024,10,2,0.8413858329676035
Mariposa_monarca,0.6642253494533646,277,2024,10,2,0.8321126747266823
Parque_venados,0.4979331323914567,52,2024,10,2,0.7489665661957283
Toluca,0.7208273152622984,15658,2024,10,2,0.8604136576311492
Bosques_con_muerdago_2,0.6716308046554499,3146,2024,11,3,0.8358154023277249
Bosques_con_muerdago_3,0.6972443533683812,32546,2024,11,3,0.8486221766841906
Bosques_densos_pino_oyamel,0.6743101765835461,29394,2024,11,3,0.8371550882917731
Mariposa_monarca,0.8127192680788291,533,2024,11,3,0.9063596340394146
Parque_venados,0.4423119657149803,52,2024,11,3,0.7211559828574902
Toluca,0.7024950803497595,15611,2024,11,3,0.8512475401748798
Bosques_con_muerdago_2,0.6211456553136105,3150,2024,12,1,0.8105728276568053
Bosques_con_muerdago_3,0.581148001688939,32618,2024,12,1,0.7905740008444695
Bosques_densos_pino_oyamel,0.5985348024021053,29466,2024,12,1,0.7992674012010527
Mariposa_monarca,0.6443548655451901,539,2024,12,1,0.822177432772595
Parque_venados,0.4129429897476312,52,2024,12,1,0.7064714948738156
Toluca,0.6727175724120329,15619,2024,12,1,0.8363587862060164
