year,month,Bosques_con_muerdago_2,Bosques_con_muerdago_3,Bosques_densos_pino_oyamel,Mariposa_monarca,Parque_venados,Toluca
2019,1,0.6105480010840476,0.6455520361373419,0.6342716835192963,0.8370877455606323,0.34074623637717816,0.6181030566314153
2019,2,0.5718079820436871,0.6022364072558425,0.5958789893744345,0.8034792334622916,0.3204437641699655,0.5699402958844864
2019,3,0.5479725082432407,0.5729163970647871,0.575282122027206,0.7850013289245403,0.32330946974905045,0.5500879396787114
2019,4,0.506538124267295,0.561580812079251,0.5436170497303584,0.762689599077252,0.30840498481198786,0.5223189400503327
2019,5,0.5130771109516673,0.5313248354930532,0.5408452912735221,0.7017991112010931,0.3133716074687937,0.556283843278141
2019,6,0.4558696103835493,0.49698156275900063,0.5260590124278418,0.5267695204250956,0.35005407714035075,0.5554021328480527
2019,7,0.5812984789182366,0.5758145028002315,0.53856292026921,0.42839260174542565,0.5229907420883978,0.6416951178713732
2019,8,0.6120110208290025,0.45577925012510345,0.6213717798808462,,,0.7113348531093378
2019,9,0.659688329294765,0.49287696179566715,0.4983141468725656,0.3101329327470242,0.6167716035544385,0.7593872493070299
2019,10,0.6561832547808899,0.6136714322059938,0.5752044243348319,0.5833506999210977,0.5538382183680787,0.7239206490601455
2019,11,0.6822835197761166,0.7094189654933521,0.6891326551890806,0.8388373631527938,0.49677406506902233,0.7194277201541693
2019,12,0.6829046916144746,0.7041590574651494,0.6870565040921757,0.8236495039264415,0.4686163472687354,0.7161531909764105
2020,1,0.6085928387843291,0.634695798363741,0.6316564456910579,0.8260850511240155,0.36785635323478627,0.6247724353775779
2020,2,0.571518205212594,0.5976599730492339,0.6067871417627462,0.7699464389575579,0.3168894198595309,0.5814492969104474
2020,3,0.5748436849393104,0.5766293383843687,0.6010795384104337,0.7606975716507568,0.3622300849825728,0.5922136795993161
2020,4,0.5384698571194058,0.5756902359733989,0.5730731724153023,0.7423778900156957,0.365121223870141,0.5461002990052009
2020,5,0.516699956910523,0.5878361203657771,0.5745898374690244,0.7540077617141738,0.4215454886165949,0.5023639002754597
2020,6,,0.515020019154798,0.5199837821182804,,,0.6002650833926757
2020,7,0.38170572980441186,0.42288193480603803,0.4785315634102379,,,0.5134606598322295
2020,8,0.6030597212957218,0.5443975413441038,0.6084929627839936,,,0.6952486050986781
2020,9,0.6558381953302999,0.6577561317369246,0.6426279861586208,-0.009604376931563555,0.5742680929028071,0.7458146494067303
2020,10,0.6579279192821228,0.6999139550636668,0.6765224939451764,0.8058259150548008,0.5033628717064857,0.6178301464967433
2020,11,0.6498532986413504,0.6698315336976818,0.6588869916644093,0.7828600624769401,0.4507840129618461,0.6989800253148133
2020,12,0.38333049313212836,0.6249922914495896,0.6010215214480524,0.4111310062525666,,0.5349475618276616
2021,1,0.6630152696693266,0.4352204115080283,0.5141811470764964,0.31241488529711353,0.2783031533161799,0.6756702571458512
2021,2,0.5502387084650858,0.6162117011307464,0.60787261103902,0.7966177685653673,0.34600409777725444,0.490663622849708
2021,3,0.537512881196622,0.5608842404312068,0.5727427218713795,0.7326778597128925,0.3190794721537945,0.4945856586138259
2021,4,0.5422569019923769,0.5421399790960513,0.5712482702665641,0.7053666286379378,0.32647953343157676,0.5144003259262072
2021,5,0.5725311724039225,0.5269072734839588,0.4211835037503251,0.6604709668228259,,0.5086416418318401
2021,6,0.30866549280994143,0.45248491769806215,0.5331399965249549,,,0.4487744159157337
2021,7,0.3893861351553615,0.3927940233086897,0.4472961219813047,,,0.46380785572308497
2021,8,0.6346974104318515,0.6939522644094167,0.6578864655871681,0.8082681321045931,0.6011573173678838,0.6808568524348797
2021,9,0.433814895883745,0.43312030843850735,0.32947252008068806,0.4209423392734291,0.3433551753942783,0.49497660951744876
2021,10,0.5445753489771197,0.6163987279269193,0.6669531121904566,,,0.6982522277476526
2021,11,0.6685981278570691,0.6869028681204405,0.677283415010132,0.8196987671156725,0.5092149783785527,0.6920880148048405
2021,12,0.52219734547471,0.5984831464491585,0.5633271649226961,0.7510210524286542,0.3552668418448705,0.5690511510250772
2022,1,0.5880190707634642,0.5892111687529209,0.548302544621458,0.8296672894936822,0.2904146110209135,0.5725135817165319
2022,2,0.3370452433720296,0.5010575026249261,0.5078464959134822,0.44550276257224003,0.32399584037753254,0.39143604593338716
2022,3,0.3826719213371413,0.49819146630807015,0.4184200309101924,0.5605789510350059,0.2359495557406369,0.41529787215980285
2022,4,0.508995923374437,0.5230487919547083,0.5361905137018255,0.7359657526458571,0.30125277357942915,0.5080491207507958
2022,5,0.5391741912975822,0.5461523549284208,0.5523503013183483,0.7187627700727377,0.3834073236759971,0.609540634475959
2022,6,0.4544968728672503,0.3493420876375308,0.34715523259544084,0.647762138602788,,0.5184228812693746
2022,7,0.43192351886500696,0.5931461009549147,0.6102836791825631,,,0.665892599011519
2022,8,0.4057728814759083,0.517152647808097,0.5329665474025849,,,0.5704982729770011
2022,9,0.6262723017793841,0.4589761023263892,0.5982895494465877,-0.041260211218765636,,0.6871083774199827
2022,10,0.6315511549005703,0.5582974995022114,0.6068793852857891,,,0.6653939359320029
2022,11,0.4834507480973665,0.6451169435746082,0.48177469580815024,0.7845167447359134,0.43014051765203476,0.5457828855080132
2022,12,0.6458297819673424,0.6336350354827359,0.5388098790022366,0.7199710169434548,0.34227592061305867,0.6381961594165922
2023,1,0.607103441365575,0.6394927978973981,0.6215739222980863,0.7746560580442139,0.3401290453397311,0.604028734518209
2023,2,0.5927733243061188,0.6071857020801835,0.6111964843862513,0.7939211107901673,0.3181389608219558,0.580325375457662
2023,3,0.5963764381660542,0.4140059367472598,0.6551191615899211,0.6382403976675393,0.2571447223424911,0.5098998237695616
2023,4,0.49648868843799615,0.5447624757538917,0.4428471309416134,0.7090391890458583,0.33874974355978127,0.4695698819960733
2023,5,0.5296516598010604,0.5590650809826617,0.5308600602054885,0.7162410988436116,0.36797721946940704,0.5997965312480322
2023,6,0.41065430339094905,0.5377167193605163,0.4964402244814436,0.509416863322258,0.4451050374370355,0.5291979925717051
2023,7,0.3631509257701494,0.5138026711473769,0.4259573746684013,0.6281736094181932,0.41473752503492395,0.5122907479619628
2023,8,0.4422345831490203,0.31729187633242184,0.31828866213853657,,0.1876690197322103,0.6384881514621191
2023,9,0.5967339294745239,0.5604496378331716,0.5934103288067948,0.21813014256538912,0.5277714631878413,0.598047860698662
2023,10,0.5130019223783165,0.5759110657603219,0.6068099256267087,0.5005484586412257,,0.6711578321826818
2023,11,0.4319329570537378,0.623187382964085,0.5854736246791566,0.6550473809126286,,0.5620989611303475
2023,12,,0.5158872379730801,0.3448774000807353,0.4953133579117158,,0.2323672457243041
2024,1,0.6496717150371123,0.6127775242446689,0.6254949915010639,0.7910671460981752,0.3573355103658527,0.6264117635689904
2024,2,0.609659121325247,0.5984805049925453,0.6223075230631718,0.7478086586110879,0.3247059480176653,0.6079490675206137
2024,3,0.5748927291357103,0.5762479289087543,0.5665076070004107,0.7339200430460316,0.3132309631453789,0.5439234475105407
2024,4,0.532502216358716,0.5515133577259375,0.5715172570650068,0.7148968581796904,0.30563920722932003,0.5618795173672364
2024,5,0.5064004872999759,0.5051101988651063,0.5088633677449854,0.6484960279913823,0.3456967328765866,0.5306328109928944
2024,6,0.5192002172222858,0.5494016927667935,0.539192973167394,0.5849423268681102,0.37616318466770493,0.5149680607140011
2024,7,0.5386979507460748,0.4763740092361485,0.5149344789812843,,,0.5727292497982396
2024,8,0.62991669793049,0.6472333333857698,0.6139151404255085,0.8074836166552489,0.5488074506130638,0.6701141993642187
2024,9,0.6526118468195119,0.6525020150450348,0.621899839619291,-0.01050871904453226,0.581677508678518,0.7273541442328677
2024,10,0.6659481039568736,0.6588172665453087,0.682771665935207,0.6642253494533646,0.4979331323914567,0.7208273152622984
2024,11,0.6716308046554499,0.6972443533683812,0.6743101765835461,0.8127192680788291,0.4423119657149803,0.7024950803497595
2024,12,0.6211456553136105,0.581148001688939,0.5985348024021053,0.6443548655451901,0.4129429897476312,0.6727175724120329
