year,month,Subzona,NDVI_mean_filtered,n_filtered,NDVI_mean_filtered_norm
2019,1,Bosques_con_muerdago_2,0.6105480010840476,3153,0.8052740005420238
2019,1,Bosques_con_muerdago_3,0.6455520361373419,32630,0.822776018068671
2019,1,Bosques_densos_pino_oyamel,0.6342716835192963,29464,0.8171358417596482
2019,1,Mariposa_monarca,0.8370877455606323,534,0.9185438727803161
2019,1,Parque_venados,0.34074623637717816,52,0.670373118188589
2019,1,Toluca,0.6181030566314153,15726,0.8090515283157076
2019,2,Bosques_con_muerdago_2,0.5718079820436871,3153,0.7859039910218435
2019,2,Bosques_con_muerdago_3,0.6022364072558425,32634,0.8011182036279212
2019,2,Bosques_densos_pino_oyamel,0.5958789893744345,29467,0.7979394946872173
2019,2,Mariposa_monarca,0.8034792334622916,529,0.9017396167311458
2019,2,Parque_venados,0.3204437641699655,51,0.6602218820849828
2019,2,Toluca,0.5699402958844864,15770,0.7849701479422432
2019,3,Bosques_con_muerdago_2,0.5479725082432407,3153,0.7739862541216204
2019,3,Bosques_con_muerdago_3,0.5729163970647871,32634,0.7864581985323935
2019,3,Bosques_densos_pino_oyamel,0.575282122027206,29466,0.787641061013603
2019,3,Mariposa_monarca,0.7850013289245403,537,0.8925006644622702
2019,3,Parque_venados,0.32330946974905045,51,0.6616547348745252
2019,3,Toluca,0.5500879396787114,15796,0.7750439698393556
2019,4,Bosques_con_muerdago_2,0.506538124267295,3151,0.7532690621336475
2019,4,Bosques_con_muerdago_3,0.561580812079251,32635,0.7807904060396256
2019,4,Bosques_densos_pino_oyamel,0.5436170497303584,29466,0.7718085248651791
2019,4,Mariposa_monarca,0.762689599077252,538,0.881344799538626
2019,4,Parque_venados,0.30840498481198786,52,0.6542024924059939
2019,4,Toluca,0.5223189400503327,15805,0.7611594700251664
2019,5,Bosques_con_muerdago_2,0.5130771109516673,3148,0.7565385554758337
2019,5,Bosques_con_muerdago_3,0.5313248354930532,32237,0.7656624177465265
2019,5,Bosques_densos_pino_oyamel,0.5408452912735221,29469,0.7704226456367611
2019,5,Mariposa_monarca,0.7017991112010931,539,0.8508995556005465
2019,5,Parque_venados,0.3133716074687937,51,0.6566858037343969
2019,5,Toluca,0.556283843278141,15808,0.7781419216390705
2019,6,Bosques_con_muerdago_2,0.4558696103835493,2849,0.7279348051917747
2019,6,Bosques_con_muerdago_3,0.49698156275900063,27161,0.7484907813795003
2019,6,Bosques_densos_pino_oyamel,0.5260590124278418,29122,0.763029506213921
2019,6,Mariposa_monarca,0.5267695204250956,384,0.7633847602125479
2019,6,Parque_venados,0.35005407714035075,52,0.6750270385701753
2019,6,Toluca,0.5554021328480527,15377,0.7777010664240264
2019,7,Bosques_con_muerdago_2,0.5812984789182366,1854,0.7906492394591182
2019,7,Bosques_con_muerdago_3,0.5758145028002315,25429,0.7879072514001157
2019,7,Bosques_densos_pino_oyamel,0.53856292026921,19589,0.769281460134605
2019,7,Mariposa_monarca,0.42839260174542565,96,0.7141963008727128
2019,7,Parque_venados,0.5229907420883978,52,0.761495371044199
2019,7,Toluca,0.6416951178713732,11969,0.8208475589356866
2019,8,Bosques_con_muerdago_2,0.6120110208290025,636,0.8060055104145012
2019,8,Bosques_con_muerdago_3,0.45577925012510345,775,0.7278896250625517
2019,8,Bosques_densos_pino_oyamel,0.6213717798808462,10054,0.8106858899404231
2019,8,Toluca,0.7113348531093378,13653,0.8556674265546689
2019,9,Bosques_con_muerdago_2,0.659688329294765,3162,0.8298441646473824
2019,9,Bosques_con_muerdago_3,0.49287696179566715,5065,0.7464384808978336
2019,9,Bosques_densos_pino_oyamel,0.4983141468725656,12761,0.7491570734362828
2019,9,Mariposa_monarca,0.3101329327470242,26,0.6550664663735121
2019,9,Parque_venados,0.6167716035544385,52,0.8083858017772192
2019,9,Toluca,0.7593872493070299,14532,0.879693624653515
2019,10,Bosques_con_muerdago_2,0.6561832547808899,3036,0.828091627390445
2019,10,Bosques_con_muerdago_3,0.6136714322059938,15362,0.8068357161029969
2019,10,Bosques_densos_pino_oyamel,0.5752044243348319,18881,0.787602212167416
2019,10,Mariposa_monarca,0.5833506999210977,427,0.7916753499605489
2019,10,Parque_venados,0.5538382183680787,52,0.7769191091840393
2019,10,Toluca,0.7239206490601455,15283,0.8619603245300728
2019,11,Bosques_con_muerdago_2,0.6822835197761166,3152,0.8411417598880583
2019,11,Bosques_con_muerdago_3,0.7094189654933521,32566,0.8547094827466761
2019,11,Bosques_densos_pino_oyamel,0.6891326551890806,29438,0.8445663275945403
2019,11,Mariposa_monarca,0.8388373631527938,520,0.919418681576397
2019,11,Parque_venados,0.49677406506902233,52,0.7483870325345112
2019,11,Toluca,0.7194277201541693,15626,0.8597138600770846
2019,12,Bosques_con_muerdago_2,0.6829046916144746,3151,0.8414523458072374
2019,12,Bosques_con_muerdago_3,0.7041590574651494,32548,0.8520795287325746
2019,12,Bosques_densos_pino_oyamel,0.6870565040921757,29408,0.8435282520460878
2019,12,Mariposa_monarca,0.8236495039264415,532,0.9118247519632208
2019,12,Parque_venados,0.4686163472687354,52,0.7343081736343677
2019,12,Toluca,0.7161531909764105,15628,0.8580765954882053
2020,1,Bosques_con_muerdago_2,0.6085928387843291,3260,0.8042964193921646
2020,1,Bosques_con_muerdago_3,0.634695798363741,32893,0.8173478991818706
2020,1,Bosques_densos_pino_oyamel,0.6316564456910579,29788,0.8158282228455289
2020,1,Mariposa_monarca,0.8260850511240155,549,0.9130425255620078
2020,1,Parque_venados,0.36785635323478627,60,0.6839281766173931
2020,1,Toluca,0.6247724353775779,15832,0.8123862176887889
2020,2,Bosques_con_muerdago_2,0.571518205212594,3252,0.785759102606297
2020,2,Bosques_con_muerdago_3,0.5976599730492339,32904,0.7988299865246169
2020,2,Bosques_densos_pino_oyamel,0.6067871417627462,29789,0.8033935708813731
2020,2,Mariposa_monarca,0.7699464389575579,548,0.8849732194787789
2020,2,Parque_venados,0.3168894198595309,59,0.6584447099297654
2020,2,Toluca,0.5814492969104474,15835,0.7907246484552237
2020,3,Bosques_con_muerdago_2,0.5748436849393104,3254,0.7874218424696552
2020,3,Bosques_con_muerdago_3,0.5766293383843687,32905,0.7883146691921843
2020,3,Bosques_densos_pino_oyamel,0.6010795384104337,29792,0.8005397692052169
2020,3,Mariposa_monarca,0.7606975716507568,553,0.8803487858253785
2020,3,Parque_venados,0.3622300849825728,59,0.6811150424912864
2020,3,Toluca,0.5922136795993161,15879,0.796106839799658
2020,4,Bosques_con_muerdago_2,0.5384698571194058,3148,0.7692349285597029
2020,4,Bosques_con_muerdago_3,0.5756902359733989,32634,0.7878451179866994
2020,4,Bosques_densos_pino_oyamel,0.5730731724153023,28237,0.7865365862076512
2020,4,Mariposa_monarca,0.7423778900156957,536,0.8711889450078478
2020,4,Parque_venados,0.365121223870141,51,0.6825606119350704
2020,4,Toluca,0.5461002990052009,15796,0.7730501495026004
2020,5,Bosques_con_muerdago_2,0.516699956910523,3244,0.7583499784552614
2020,5,Bosques_con_muerdago_3,0.5878361203657771,32895,0.7939180601828886
2020,5,Bosques_densos_pino_oyamel,0.5745898374690244,29790,0.7872949187345122
2020,5,Mariposa_monarca,0.7540077617141738,551,0.8770038808570869
2020,5,Parque_venados,0.4215454886165949,60,0.7107727443082974
2020,5,Toluca,0.5023639002754597,15966,0.7511819501377299
2020,6,Bosques_con_muerdago_2,,3267,
2020,6,Bosques_con_muerdago_3,0.515020019154798,32897,0.757510009577399
2020,6,Bosques_densos_pino_oyamel,0.5199837821182804,29796,0.7599918910591402
2020,6,Mariposa_monarca,,554,
2020,6,Parque_venados,,60,
2020,6,Toluca,0.6002650833926757,15941,0.8001325416963379
2020,7,Bosques_con_muerdago_2,0.38170572980441186,3267,0.6908528649022059
2020,7,Bosques_con_muerdago_3,0.42288193480603803,32869,0.711440967403019
2020,7,Bosques_densos_pino_oyamel,0.4785315634102379,29759,0.7392657817051189
2020,7,Mariposa_monarca,,554,
2020,7,Parque_venados,,60,
2020,7,Toluca,0.5134606598322295,15966,0.7567303299161148
2020,8,Bosques_con_muerdago_2,0.6030597212957218,3263,0.8015298606478609
2020,8,Bosques_con_muerdago_3,0.5443975413441038,32897,0.7721987706720519
2020,8,Bosques_densos_pino_oyamel,0.6084929627839936,29739,0.8042464813919967
2020,8,Mariposa_monarca,,554,
2020,8,Parque_venados,,60,
2020,8,Toluca,0.6952486050986781,15925,0.8476243025493391
2020,9,Bosques_con_muerdago_2,0.6558381953302999,3250,0.8279190976651499
2020,9,Bosques_con_muerdago_3,0.6577561317369246,32721,0.8288780658684622
2020,9,Bosques_densos_pino_oyamel,0.6426279861586208,29512,0.8213139930793104
2020,9,Mariposa_monarca,-0.009604376931563555,553,0.4951978115342182
2020,9,Parque_venados,0.5742680929028071,60,0.7871340464514036
2020,9,Toluca,0.7458146494067303,15872,0.8729073247033652
2020,10,Bosques_con_muerdago_2,0.6579279192821228,3248,0.8289639596410614
2020,10,Bosques_con_muerdago_3,0.6999139550636668,32849,0.8499569775318334
2020,10,Bosques_densos_pino_oyamel,0.6765224939451764,29746,0.8382612469725882
2020,10,Mariposa_monarca,0.8058259150548008,548,0.9029129575274004
2020,10,Parque_venados,0.5033628717064857,60,0.7516814358532429
2020,10,Toluca,0.6178301464967433,15916,0.8089150732483716
2020,11,Bosques_con_muerdago_2,0.6498532986413504,3244,0.8249266493206753
2020,11,Bosques_con_muerdago_3,0.6698315336976818,32830,0.834915766848841
2020,11,Bosques_densos_pino_oyamel,0.6588869916644093,29741,0.8294434958322047
2020,11,Mariposa_monarca,0.7828600624769401,526,0.89143003123847
2020,11,Parque_venados,0.4507840129618461,60,0.7253920064809231
2020,11,Toluca,0.6989800253148133,15735,0.8494900126574066
2020,12,Bosques_con_muerdago_2,0.38333049313212836,3267,0.6916652465660642
2020,12,Bosques_con_muerdago_3,0.6249922914495896,32886,0.8124961457247948
2020,12,Bosques_densos_pino_oyamel,0.6010215214480524,29795,0.8005107607240263
2020,12,Mariposa_monarca,0.4111310062525666,554,0.7055655031262833
2020,12,Parque_venados,,60,
2020,12,Toluca,0.5349475618276616,15966,0.7674737809138308
2021,1,Bosques_con_muerdago_2,0.6630152696693266,3266,0.8315076348346633
2021,1,Bosques_con_muerdago_3,0.4352204115080283,32903,0.7176102057540141
2021,1,Bosques_densos_pino_oyamel,0.5141811470764964,29789,0.7570905735382483
2021,1,Mariposa_monarca,0.31241488529711353,554,0.6562074426485568
2021,1,Parque_venados,0.2783031533161799,60,0.63915157665809
2021,1,Toluca,0.6756702571458512,15964,0.8378351285729255
2021,2,Bosques_con_muerdago_2,0.5502387084650858,3263,0.775119354232543
2021,2,Bosques_con_muerdago_3,0.6162117011307464,32905,0.8081058505653732
2021,2,Bosques_densos_pino_oyamel,0.60787261103902,29778,0.80393630551951
2021,2,Mariposa_monarca,0.7966177685653673,549,0.8983088842826836
2021,2,Parque_venados,0.34600409777725444,59,0.6730020488886272
2021,2,Toluca,0.490663622849708,15966,0.7453318114248539
2021,3,Bosques_con_muerdago_2,0.537512881196622,3254,0.7687564405983109
2021,3,Bosques_con_muerdago_3,0.5608842404312068,32905,0.7804421202156033
2021,3,Bosques_densos_pino_oyamel,0.5727427218713795,29794,0.7863713609356897
